date,value
2017-11-28,1372113.5866999966
2017-11-29,1377186.6597999963
2017-11-30,1382758.6630999963
2017-12-01,1384986.4382999963
2017-12-04,1381397.5020999964
2017-12-05,1381494.8346999963
2017-12-06,1367098.3368999963
2017-12-07,1377184.2021999962
2017-12-08,1387647.2451999963
2017-12-11,1391652.1518999962
2017-12-12,1390494.6512999963
2017-12-13,1386313.6891999962
2017-12-14,1385129.8957999963
2017-12-15,1381519.9229999962
2017-12-18,1393145.6281999962
2017-12-19,1391519.8883999963
2017-12-20,1393922.2041999963
2017-12-21,1393802.3796999962
2017-12-22,1395984.5827999962
2017-12-25,1396666.3719999962
2017-12-26,1394628.5888999964
2017-12-27,1397770.4698999962
2017-12-28,1393621.5194999962
2017-12-29,1392966.3595999964
2018-01-04,1416435.143199996
2018-01-05,1424402.322599996
2018-01-09,1429088.1992999963
2018-01-10,1427940.2031999961
2018-01-11,1426598.3607999962
2018-01-12,1425231.8970999962
2018-01-15,1426226.135599996
2018-01-16,1431249.1345999958
2018-01-17,1428263.094099996
2018-01-18,1423717.999899996
2018-01-19,1426977.066499996
2018-01-22,1426371.563799996
2018-01-23,1435542.912999996
2018-01-24,1430085.550599996
2018-01-25,1422668.223299996
2018-01-26,1419872.531099996
2018-01-29,1420193.259299996
2018-01-30,1409530.6794999961
2018-01-31,1402469.413899996
2018-02-01,1413568.9930999961
